Index,画像ファイル,OCR結果
0,image0.png,"```json
{
   ""filename"": ""image0.png"",
   ""hinban"": ""NNF41030 LE9, LDL40S"",
   ""num_items"": ""30"",
   ""serial_num"": ""A401"",
   ""other"": ""LEDランプ用、適合ランプ: LEDランプ用、電圧: 100-242V、ランプ材質: ガラス、Ra: 84""
}
```"
1,image1.png,"```json
{
   ""filename"": ""image1.png"",
   ""hinban"": ""XLX460UEN LE9, LDL40S"",
   ""num_items"": ""8"",
   ""serial_num"": ""B402"",
   ""other"": ""LED照明、色温度5000K""
}
```"
2,image2.png,"```json
{
   ""filename"": ""image2.png"",
   ""hinban"": ""NNFW42001K LE9, LDL40Sx2"",
   ""num_items"": ""6"",
   ""serial_num"": ""C402"",
   ""other"": ""直管LEDランプ、定格100-242V、光源寿命40000時間""
}
```"
3,image3.png,"```json
{
   ""filename"": ""image3.png"",
   ""hinban"": ""NNFW41001"",
   ""num_items"": ""10"",
   ""serial_num"": ""D401"",
   ""other"": ""LDL40形、LEDランプ、光束約40000時間""
}
```"
4,image4.png,"```json
{
   ""filename"": ""image4.png"",
   ""hinban"": ""FYY26912J"",
   ""num_items"": ""49"",
   ""serial_num"": ""E401"",
   ""other"": ""LED40形、色温度3500K""
}
```"
5,image5.png,"```json
{
   ""filename"": ""image5.png"",
   ""hinban"": ""XLX430AEN LE9"",
   ""num_items"": ""6"",
   ""serial_num"": ""F401"",
   ""other"": ""LED照明、色温度5000K""
}
```"
6,image6.png,"```json
{
   ""filename"": ""image6.png"",
   ""hinban"": ""XLX430NEN LE9"",
   ""num_items"": ""2"",
   ""serial_num"": ""G401"",
   ""other"": ""LED40形, 光色: 白色(5000K), ラジウム83""
}
```"
7,image7.png,"```json
{
   ""filename"": ""image7.png"",
   ""hinban"": ""NNFW42500K LE9"",
   ""num_items"": ""2"",
   ""serial_num"": ""H402"",
   ""other"": ""LED照明、色温度4000K、プラスチック（白）""
}
```"
8,image8.png,"```json
{
   ""filename"": ""image8.png"",
   ""hinban"": ""NNN71067Z"",
   ""num_items"": ""31"",
   ""serial_num"": ""LE1"",
   ""other"": ""LED照明、色温度3500K、消費電力6W""
}
```"
9,image9.png,"```json
{
   ""filename"": ""image9.png"",
   ""hinban"": ""NNN72067Z"",
   ""num_items"": ""26"",
   ""serial_num"": ""J100"",
   ""other"": ""LED100形 (10.1W)、色温度3500K、RA85、照度8401lm""
}
```"
10,image10.png,"```json
{
   ""filename"": ""image10.png"",
   ""hinban"": ""NNN73067Z"",
   ""num_items"": ""90"",
   ""serial_num"": ""K150"",
   ""other"": ""LED照明、色温度3500K、出力14.7W""
}
```"
